Loaded summary from lodopab_out/summary.json
IMG_SIZE=362, NUM_ANGLES=1000, DET_COUNT=513, PHI=[-1.0471975511965976, 1.0471975511965976]
BETA (mean y_diff_norms) = 8.358424e-01
[init=tv | resnet] epoch 001/50 | train=0.000804 | val=0.000733
[init=tv | resnet] epoch 002/50 | train=0.000707 | val=0.000642
[init=tv | resnet] epoch 003/50 | train=0.000591 | val=0.000506
[init=tv | resnet] epoch 004/50 | train=0.000469 | val=0.000443
[init=tv | resnet] epoch 005/50 | train=0.000422 | val=0.000413
[init=tv | resnet] epoch 006/50 | train=0.000397 | val=0.000406
[init=tv | resnet] epoch 007/50 | train=0.000378 | val=0.000373
[init=tv | resnet] epoch 008/50 | train=0.000362 | val=0.000368
[init=tv | resnet] epoch 009/50 | train=0.000351 | val=0.000356
[init=tv | resnet] epoch 010/50 | train=0.000341 | val=0.000346
[init=tv | resnet] epoch 011/50 | train=0.000331 | val=0.000343
[init=tv | resnet] epoch 012/50 | train=0.000322 | val=0.000337
[init=tv | resnet] epoch 013/50 | train=0.000314 | val=0.000334
[init=tv | resnet] epoch 014/50 | train=0.000308 | val=0.000331
[init=tv | resnet] epoch 015/50 | train=0.000301 | val=0.000325
[init=tv | resnet] epoch 016/50 | train=0.000295 | val=0.000323
[init=tv | resnet] epoch 017/50 | train=0.000290 | val=0.000321
[init=tv | resnet] epoch 018/50 | train=0.000286 | val=0.000318
[init=tv | resnet] epoch 019/50 | train=0.000281 | val=0.000313
[init=tv | resnet] epoch 020/50 | train=0.000277 | val=0.000315
[init=tv | resnet] epoch 021/50 | train=0.000273 | val=0.000312
[init=tv | resnet] epoch 022/50 | train=0.000269 | val=0.000309
[init=tv | resnet] epoch 023/50 | train=0.000266 | val=0.000309
[init=tv | resnet] epoch 024/50 | train=0.000262 | val=0.000308
[init=tv | resnet] epoch 025/50 | train=0.000259 | val=0.000306
[init=tv | resnet] epoch 026/50 | train=0.000257 | val=0.000306
[init=tv | resnet] epoch 027/50 | train=0.000255 | val=0.000306
[init=tv | resnet] epoch 028/50 | train=0.000251 | val=0.000306
[init=tv | resnet] epoch 029/50 | train=0.000250 | val=0.000307
[init=tv | resnet] epoch 030/50 | train=0.000248 | val=0.000306
[init=tv | resnet] epoch 031/50 | train=0.000245 | val=0.000304
[init=tv | resnet] epoch 032/50 | train=0.000243 | val=0.000305
[init=tv | resnet] epoch 033/50 | train=0.000241 | val=0.000302
[init=tv | resnet] epoch 034/50 | train=0.000239 | val=0.000302
[init=tv | resnet] epoch 035/50 | train=0.000238 | val=0.000301
[init=tv | resnet] epoch 036/50 | train=0.000236 | val=0.000300
[init=tv | resnet] epoch 037/50 | train=0.000234 | val=0.000303
[init=tv | resnet] epoch 038/50 | train=0.000233 | val=0.000299
[init=tv | resnet] epoch 039/50 | train=0.000230 | val=0.000298
[init=tv | resnet] epoch 040/50 | train=0.000230 | val=0.000302
[init=tv | resnet] epoch 041/50 | train=0.000228 | val=0.000301
[init=tv | resnet] epoch 042/50 | train=0.000227 | val=0.000298
[init=tv | resnet] epoch 043/50 | train=0.000225 | val=0.000299
[init=tv | resnet] epoch 044/50 | train=0.000224 | val=0.000298
[init=tv | resnet] epoch 045/50 | train=0.000223 | val=0.000298
[init=tv | resnet] epoch 046/50 | train=0.000221 | val=0.000299
[init=tv | resnet] epoch 047/50 | train=0.000220 | val=0.000297
[init=tv | resnet] epoch 048/50 | train=0.000220 | val=0.000299
[init=tv | resnet] epoch 049/50 | train=0.000218 | val=0.000298
[init=tv | resnet] epoch 050/50 | train=0.000217 | val=0.000297
[init=tv | resnet] best val=0.000297 saved to runs_lodopab/init_tv/checkpoints/resnet_best.pt
[init=tv | resnet] example saved to runs_lodopab/init_tv/examples/resnet_example.png
[init=tv | nsn] epoch 001/50 | train=0.001025 | val=0.000747
[init=tv | nsn] epoch 002/50 | train=0.000702 | val=0.000661
[init=tv | nsn] epoch 003/50 | train=0.000619 | val=0.000588
[init=tv | nsn] epoch 004/50 | train=0.000567 | val=0.000550
[init=tv | nsn] epoch 005/50 | train=0.000540 | val=0.000531
[init=tv | nsn] epoch 006/50 | train=0.000518 | val=0.000517
[init=tv | nsn] epoch 007/50 | train=0.000504 | val=0.000505
[init=tv | nsn] epoch 008/50 | train=0.000492 | val=0.000493
[init=tv | nsn] epoch 009/50 | train=0.000482 | val=0.000493
[init=tv | nsn] epoch 010/50 | train=0.000474 | val=0.000486
[init=tv | nsn] epoch 011/50 | train=0.000468 | val=0.000482
[init=tv | nsn] epoch 012/50 | train=0.000461 | val=0.000476
[init=tv | nsn] epoch 013/50 | train=0.000455 | val=0.000476
[init=tv | nsn] epoch 014/50 | train=0.000450 | val=0.000468
[init=tv | nsn] epoch 015/50 | train=0.000444 | val=0.000465
[init=tv | nsn] epoch 016/50 | train=0.000440 | val=0.000463
[init=tv | nsn] epoch 017/50 | train=0.000437 | val=0.000463
[init=tv | nsn] epoch 018/50 | train=0.000432 | val=0.000460
[init=tv | nsn] epoch 019/50 | train=0.000429 | val=0.000460
[init=tv | nsn] epoch 020/50 | train=0.000425 | val=0.000457
[init=tv | nsn] epoch 021/50 | train=0.000422 | val=0.000456
[init=tv | nsn] epoch 022/50 | train=0.000418 | val=0.000456
[init=tv | nsn] epoch 023/50 | train=0.000416 | val=0.000455
[init=tv | nsn] epoch 024/50 | train=0.000414 | val=0.000455
[init=tv | nsn] epoch 025/50 | train=0.000411 | val=0.000455
[init=tv | nsn] epoch 026/50 | train=0.000408 | val=0.000454
